,turn,assassin,algorithm,data,seed,cb,ci
298,4,1,1,AI_dataset\wup_sim_mat.npz,1564938191,0.8,0.002
299,4,0,1,AI_dataset\wup_sim_mat.npz,2050123959,0.8,0.002
300,7,0,1,AI_dataset\wup_sim_mat.npz,976493170,0.8,0.003
301,2,1,1,AI_dataset\wup_sim_mat.npz,1898010485,0.8,0.003
302,6,0,1,AI_dataset\wup_sim_mat.npz,903915198,0.8,0.003
303,4,0,1,AI_dataset\wup_sim_mat.npz,154761663,0.8,0.003
304,4,1,1,AI_dataset\wup_sim_mat.npz,2083664959,0.8,0.003
305,3,1,1,AI_dataset\wup_sim_mat.npz,743724488,0.8,0.003
306,5,1,1,AI_dataset\wup_sim_mat.npz,1189909554,0.8,0.003
307,5,0,1,AI_dataset\wup_sim_mat.npz,1553310154,0.8,0.003
308,6,0,1,AI_dataset\wup_sim_mat.npz,650694728,0.8,0.003
309,5,0,1,AI_dataset\wup_sim_mat.npz,1874798004,0.8,0.003
310,5,0,1,AI_dataset\wup_sim_mat.npz,1839367726,0.8,0.003
311,6,0,1,AI_dataset\wup_sim_mat.npz,224504061,0.8,0.003
312,5,1,1,AI_dataset\wup_sim_mat.npz,1668885673,0.8,0.003
313,6,0,1,AI_dataset\wup_sim_mat.npz,592020510,0.8,0.003
314,4,1,1,AI_dataset\wup_sim_mat.npz,639431775,0.8,0.003
315,6,0,1,AI_dataset\wup_sim_mat.npz,2055405236,0.8,0.003
316,3,1,1,AI_dataset\wup_sim_mat.npz,231872003,0.8,0.003
317,5,0,1,AI_dataset\wup_sim_mat.npz,233760283,0.8,0.003
318,6,0,1,AI_dataset\wup_sim_mat.npz,1130850212,0.8,0.003
319,5,0,1,AI_dataset\wup_sim_mat.npz,333423813,0.8,0.003
320,5,0,1,AI_dataset\wup_sim_mat.npz,1982344195,0.8,0.003
321,5,0,1,AI_dataset\wup_sim_mat.npz,1830143886,0.8,0.003
322,3,1,1,AI_dataset\wup_sim_mat.npz,155096627,0.8,0.003
323,7,0,1,AI_dataset\wup_sim_mat.npz,1016797524,0.8,0.003
324,7,0,1,AI_dataset\wup_sim_mat.npz,1769986019,0.8,0.003
325,6,1,1,AI_dataset\wup_sim_mat.npz,238922116,0.8,0.003
326,6,0,1,AI_dataset\wup_sim_mat.npz,1614316044,0.8,0.003
327,3,1,1,AI_dataset\wup_sim_mat.npz,736948582,0.8,0.003
328,5,0,1,AI_dataset\wup_sim_mat.npz,507888607,0.8,0.003
329,5,0,1,AI_dataset\wup_sim_mat.npz,878427418,0.8,0.003
330,4,1,1,AI_dataset\wup_sim_mat.npz,1355625463,0.8,0.003
331,7,0,1,AI_dataset\wup_sim_mat.npz,1556239959,0.8,0.003
332,4,1,1,AI_dataset\wup_sim_mat.npz,1150815332,0.8,0.003
333,5,0,1,AI_dataset\wup_sim_mat.npz,1430297212,0.8,0.003
334,6,0,1,AI_dataset\wup_sim_mat.npz,758589409,0.8,0.003
335,5,1,1,AI_dataset\wup_sim_mat.npz,1904640645,0.8,0.003
336,5,1,1,AI_dataset\wup_sim_mat.npz,969437725,0.8,0.003
337,1,1,1,AI_dataset\wup_sim_mat.npz,451886063,0.8,0.003
338,6,0,1,AI_dataset\wup_sim_mat.npz,2139802173,0.8,0.003
339,6,0,1,AI_dataset\wup_sim_mat.npz,705582344,0.8,0.003
340,6,0,1,AI_dataset\wup_sim_mat.npz,1632436846,0.8,0.003
341,4,1,1,AI_dataset\wup_sim_mat.npz,2141207134,0.8,0.003
342,4,0,1,AI_dataset\wup_sim_mat.npz,1097799373,0.8,0.003
343,3,0,1,AI_dataset\wup_sim_mat.npz,775363239,0.8,0.003
344,2,1,1,AI_dataset\wup_sim_mat.npz,409253677,0.8,0.003
345,4,0,1,AI_dataset\wup_sim_mat.npz,1283367613,0.8,0.003
346,7,0,1,AI_dataset\wup_sim_mat.npz,1532135717,0.8,0.003
347,4,0,1,AI_dataset\wup_sim_mat.npz,712825958,0.8,0.003
348,5,0,1,AI_dataset\wup_sim_mat.npz,800942480,0.8,0.003
